Semana;Conteúdo;Número;cod_questao;questao
03/02/2025;Funções;1;MAT10101;Uma fábrica de panelas opera com um custo fixo mensal de R$ 9 800,00 e um custo variável por panela de R$ 45,00. Cada panela é vendida por R$ 65,00. Seja x a quantidade que deve ser produzida e vendida mensalmente para que o lucro mensal seja igual a 20% da receita. A soma dos algarismos de x é:
03/02/2025;Funções;2;MAT10102;(Enem 2019) Uma empresa tem diversos funcionários. Um deles é o gerente, que recebe R$ 1 000,00 por semana. Os outros funcionários são diaristas. Cada um deles trabalha 2 dias por semana, recebendo R$ 80,00 por dia trabalhado. Chamando de X a quantidade total de funcionários da empresa, a quantia Y, em reais, que esta empresa gasta semanalmente para pagar seus funcionários é expressa por:
03/02/2025;Funções;3;MAT10103;(Cesgranrio) O valor de um carro novo é de R$ 9 000,00 e, com 4 anos de uso, é de R$ 4 000,00. Supondo que o preço caia com o tempo, segundo uma linha reta, o valor de um carro com 1 ano de uso é:
03/02/2025;Funções;4;MAT10104;(Enem 2009) Um grupo de 50 pessoas fez um orçamento inicial para organizar uma festa, que seria dividido entre elas em cotas iguais. Verificou-se ao final que, para arcar com todas as despesas, faltavam R$ 510,00, e que 5 novas pessoas haviam ingressado no grupo. No acerto foi decidido que a despesa total seria dividida em partes iguais pelas 55 pessoas. Quem não havia ainda contribuído pagaria a sua parte, e cada uma das 50 pessoas do grupo inicial deveria contribuir com mais R$ 7,00. De acordo com essas informações, qual foi o valor da cota calculada no acerto final para cada uma das 55 pessoas?
03/02/2025;Funções;5;MAT10105;(Cefet - MG - 2015) Um motorista de táxi cobra, para cada corrida, uma taxa fixa de R$ 5,00 e mais R$ 2,00 por quilômetro rodado. O valor total arrecadado (R) num dia é função da quantidade total (x) de quilômetros percorridos e calculado por meio da função R(x) = ax + b, em que a é o preço cobrado por quilômetro e b, a soma de todas as taxas fixas recebidas no dia. Se, em um dia, o taxista realizou 10 corridas e arrecadou R$ 410,00, então a média de quilômetros rodados por corrida foi de:
03/02/2025;Funções;6;MAT10106;(UCS 2014) O salário mensal de um vendedor é de R$ 750,00 fixos mais 2,5% sobre o valor total em reais das vendas que ele efetuar durante o mês. Em um mês em que suas vendas totalizarem x reais, o salário do vendedor será dado pela expressão:
03/02/2025;Citologia;1;BIO10101;"Universidade Estadual Paulista (Unesp) 2023: Para que uma célula possa produzir suas proteínas, ela precisa de aminoácidos, que podem ser obtidos de duas maneiras: ingeridos em alimentos ricos em proteínas ou produzidos pelas células a partir de outras moléculas orgânicas. Alguns organismos, particularmente os seres autotróficos, são capazes de sintetizar todos os 20 tipos de aminoácidos necessários para a produção de suas proteínas; consequentemente, eles não precisam ingerir proteínas para sobreviver. Outros organismos, entre os quais nossa espécie, não conseguem sintetizar alguns dos aminoácidos e, por isso, precisam recebê-los prontos na alimentação. Os aminoácidos que um organismo não consegue sintetizar são chamados aminoácidos essenciais.  (José Mariano Amabis e Gilberto Rodrigues Martho. Biologia, 2004. Adaptado.)  O organismo humano não sintetiza alguns aminoácidos, chamados essenciais, porque suas células"
03/02/2025;Citologia;2;BIO10102;Faculdade De Medicina De São José Do Rio Preto (Famerp) 2023: Em uma espermátide, todas as membranas do complexo golgiense foram marcadas com um elemento químico fluorescente. Depois de alguns minutos, a espermátide sofreu diferenciação celular e a célula resultante foi analisada ao microscópio. Verificou-se que a marcação fluorescente ocorria
03/02/2025;Citologia;3;BIO10103;Faculdade Israelita de Ciências da Saúde Albert Einstein 2023: Pneumococos, clorofíceas, paramécios, leveduras, laranjeiras e moscas são seres vivos cujas células apresentam semelhanças estruturais e metabólicas. Uma característica celular encontrada em todos esses seres vivos é a
03/02/2025;Citologia;4;BIO10104;Universidade Estadual de Roraima (Uerr) 2023:  A “maquinaria” da célula humana é um exemplo de obra de arte exibida pela natureza. Essa maquinaria é composta por organelas que funcionam como se fossem pequenos “órgãos” presentes no corpo, exercendo com excelência o papel de manutenção da vida. Uma das funções biológicas dessa maquinaria é a síntese de proteínas, atividade comumente realizada no
03/02/2025;Citologia;5;BIO10105;Exame Nacional do Ensino Médio (Enem) 2022: Em um sistema hipotético mantido sob iluminação, estão presentes uma célula autotrófica e uma célula heterotrófica. A esse sistema são fornecidos água, glicose e gás oxigênio, sendo esse último na forma de ¹⁸O₂. Ao final de um período de 24 horas, a análise dos compostos presentes nesse sistema permitirá a detecção do isótopo no(a)
03/02/2025;Revolução Francesa;1;HIS10101;Sobre o contexto da Revolução Francesa, qual era uma das principais características do Antigo Regime na França?
03/02/2025;Revolução Francesa;2;HIS10102;Qual foi o evento que simbolizou o início da Revolução Francesa em 1789?
03/02/2025;Revolução Francesa;3;HIS10103;Qual era a principal diferença entre os Girondinos e os Jacobinos?
03/02/2025;Revolução Francesa;4;HIS10104;O que marcou o período conhecido como “Terror” durante a Revolução Francesa?
03/02/2025;Revolução Francesa;5;HIS10105;Como a Revolução Francesa chegou ao fim em 1799?
03/02/2025;Interpretação de Textos;1;TEX10101;O que caracteriza a compreensão de texto?
03/02/2025;Interpretação de Textos;2;TEX10102;Segundo o texto, qual é uma estratégia recomendada para melhorar a compreensão textual?
03/02/2025;Interpretação de Textos;3;TEX10103;Como diferenciar compreensão de interpretação de texto?
03/02/2025;Interpretação de Textos;4;TEX10104;Qual é a importância da leitura para a interpretação de textos?
03/02/2025;Interpretação de Textos;5;TEX10105;Em provas e vestibulares, quais expressões indicam que a questão exige interpretação de texto?
10/02/2025;Trigonometria;1;MAT10201;O que define a hipotenusa em um triângulo retângulo?
10/02/2025;Trigonometria;2;MAT10202;Quando utilizamos o seno (sen) de um ângulo em um triângulo retângulo?
10/02/2025;Trigonometria;3;MAT10203;Qual das seguintes opções representa corretamente a definição da tangente de um ângulo em um triângulo retângulo?
10/02/2025;Trigonometria;4;MAT10204;Qual alternativa abaixo representa corretamente o valor aproximado do cosseno de 30 graus?
10/02/2025;Trigonometria;5;MAT10205;Em um problema onde temos um triângulo retângulo e conhecemos o cateto oposto e queremos encontrar o cateto adjacente, qual razão trigonométrica devemos utilizar?
10/02/2025;Genética;1;BIO10201;O que é a genética e qual é o seu principal objetivo?
10/02/2025;Genética;2;BIO10202;O que são genes e qual é sua função no organismo?
10/02/2025;Genética;3;BIO10203;O que define a hereditariedade?
10/02/2025;Genética;4;BIO10204;Qual a função dos alelos no cromossomo?
10/02/2025;Genética;5;BIO10205;Por que o daltonismo é mais comum em homens do que em mulheres?
10/02/2025;Idade Média;1;HIS10201;O que marcou o início da Idade Média?
10/02/2025;Idade Média;2;HIS10202;"Por que os pensadores renascentistas chamaram a Idade Média de ""Idade das Trevas""?"
10/02/2025;Idade Média;3;HIS10203;Qual foi a principal consequência das invasões bárbaras na Europa durante a Alta Idade Média?
10/02/2025;Idade Média;4;HIS10204;Como funcionava o sistema de suserania e vassalagem no feudalismo?
10/02/2025;Idade Média;5;HIS10205;Qual foi uma das principais causas da crise do feudalismo no final da Idade Média?
10/02/2025;Redação ENEM;1;TEX10201;O que é obrigatório na estrutura da redação do Enem?
10/02/2025;Redação ENEM;2;TEX10202;Se um candidato escrever as 30 linhas em um único parágrafo, o que pode acontecer?
10/02/2025;Redação ENEM;3;TEX10203;Como deve ser o tamanho dos parágrafos em uma redação bem organizada?
10/02/2025;Redação ENEM;4;TEX10204;O título da redação no Enem é obrigatório?
10/02/2025;Redação ENEM;5;TEX10205;Quais elementos são recomendados para iniciar os parágrafos a partir do segundo?
17/02/2025;LIN. PORT. / Débora Souza;1;LPO1.7.0101;O que são classes gramaticais?
17/02/2025;LIN. PORT. / Débora Souza;2;LPO1.7.0102;Qual das opções abaixo representa uma classe gramatical variável?
17/02/2025;LIN. PORT. / Débora Souza;3;LPO1.7.0103;Qual das opções abaixo NÃO é uma classe gramatical invariável?
17/02/2025;LIN. PORT. / Débora Souza;4;LPO1.7.0104;Qual é a principal função do artigo na língua portuguesa?
17/02/2025;LIN. PORT. / Débora Souza;5;LPO1.7.0105;Qual das alternativas contém apenas conjunções?
17/02/2025;LIN. PORT. / Débora Souza;6;LPO1.7.0106;Qual é a função do substantivo em uma oração?
17/02/2025;LIN. PORT. / Débora Souza;7;LPO1.7.0107;Qual das alternativas abaixo contém apenas pronomes?
17/02/2025;LIN. PORT. / Débora Souza;8;LPO1.7.0108;O que diferencia uma preposição de uma conjunção?
17/02/2025;LIN. PORT. / Débora Souza;9;LPO1.7.0109;Qual das alternativas contém apenas advérbios?
17/02/2025;MATEMÁTICA / Leandro;1;MAT1.7.0101;O que é a técnica da decomposição utilizada no cálculo mental?
17/02/2025;MATEMÁTICA / Leandro;2;MAT1.7.0102;Como podemos utilizar a decomposição para realizar uma soma?
17/02/2025;MATEMÁTICA / Leandro;3;MAT1.7.0103;Como aplicar a decomposição na subtração de dois números?
